question,answer,passage
is the first round of nba playoffs best of 7,True,The NBA playoffs are a best-of-seven elimination tournament annually held after the National Basketball Association's regular season to determine the league's champion.
did abraham lincoln write the letter in saving private ryan,True,"In the 1998 war film Saving Private Ryan, General George Marshall (played by Harve Presnell) reads the Bixby letter to his officers before giving the order to find and send home Private James Francis Ryan after Ryan's three brothers died in battle."
is the bank of england a private limited company,True,"In 1977, the Bank set up a wholly owned subsidiary called Bank of England Nominees Limited (BOEN), a private limited company, with two of its hundred £1 shares issued. According to its Memorandum & Articles of Association, its objectives are: ``To act as Nominee or agent or attorney either solely or jointly with others, for any person or persons, partnership, company, corporation, government, state, organisation, sovereign, province, authority, or public body, or any group or association of them...'' Bank of England Nominees Limited was granted an exemption by Edmund Dell, Secretary of State for Trade, from the disclosure requirements under Section 27(9) of the Companies Act 1976, because ``it was considered undesirable that the disclosure requirements should apply to certain categories of shareholders.'' The Bank of England is also protected by its royal charter status, and the Official Secrets Act. BOEN is a vehicle for governments and heads of state to invest in UK companies (subject to approval from the Secretary of State), providing they undertake ``not to influence the affairs of the company''. BOEN is no longer exempt from company law disclosure requirements. Although a dormant company, dormancy does not preclude a company actively operating as a nominee shareholder. BOEN has two shareholders: the Bank of England, and the Secretary of the Bank of England.."
does the franchise tag count against the salary cap,False,"Perhaps originally designed to reduce player movement to bigger markets, which is often evidenced in the other major pro sports leagues, the NFL revenue sharing and a hard salary cap have placed teams on an even playing field relative to salaries. The tag options allow NFL franchises an extended bargaining period for a player that they feel is key to their success. Usually reserved for players of great skill or of high importance to the team, a franchise tag allows a team's general manager the privilege of strategically retaining valuable free-agent players while seeking talent through the NFL draft or other acquisitions without exceeding the League's salary cap."
is a registered domestic partnership the same as marriage,True,"A domestic partnership is an interpersonal relationship between two individuals who live together and share a common domestic life but are not married (to each other or to anyone else). People in domestic partnerships receive benefits that guarantee right of survivorship, hospital visitation and others."
calcium carbide cac2 is the raw material for the production of acetylene,True,Calcium carbide is a chemical compound with the chemical formula of CaC. Its main use industrially is in the production of acetylene and calcium cyanamide.
is there a difference between arrhythmia and dysrhythmia,False,"Heart arrhythmia (also known as arrhythmia, dysrhythmia, or irregular heartbeat) is a group of conditions in which the heartbeat is irregular, too fast, or too slow. A heart rate that is too fast -- above 100 beats per minute in adults -- is called tachycardia and a heart rate that is too slow -- below 60 beats per minute -- is called bradycardia. Many types of arrhythmia have no symptoms. When symptoms are present these may include palpitations or feeling a pause between heartbeats. In more serious cases there may be lightheadedness, passing out, shortness of breath, or chest pain. While most types of arrhythmia are not serious, some predispose a person to complications such as stroke or heart failure. Others may result in cardiac arrest."
have the milwaukee bucks ever won a championship,True,"The Bucks have won one league title (1971), two conference titles (1971 and 1974), and 13 division titles (1971--1974, 1976, 1980--1986, 2001). They have featured such notable players as Kareem Abdul-Jabbar, Sidney Moncrief, Oscar Robertson, Bob Dandridge, Bob Lanier, Glenn Robinson, Ray Allen, Sam Cassell, Junior Bridgeman, Michael Redd, Terry Cummings, Vin Baker, Jon McGlocklin, Marques Johnson, and Brian Winters."
is kingdom manga based on a true story,True,"Kingdom (キングダム, Kingudamu) is a Japanese manga series written and illustrated by Yasuhisa Hara (原泰久, Hara Yasuhisa). The manga provides a fictionalized account of the Warring States period primarily through the experiences of the war orphan Xin and his comrades as he fights to become the greatest general under the heavens, and in doing so, unifying China for the first time in history. The series was adapted into a thirty-eight episode anime series by studio Pierrot that aired from June 4, 2012 to February 25, 2013. A second season was announced and aired from June 8, 2013 to March 1, 2014. An English language release of the anime was licensed by Funimation."
does buffy's mom know she's a slayer,True,"The premise of the series is that Buffy is the latest Slayer, a young woman endowed by mystical forces with superhuman powers to fight and defeat vampires, demons, and other evil forces in the fictional town of Sunnydale. Like every Slayer before her, she was chosen and informed of her destiny when she was 15 years old. Her mother is unaware of her daughter's powers and responsibilities until Buffy is forced to tell her at the end of the second season of the television series. Although Joyce is shocked at this revelation, she recovers quickly and remains a source of stability for Buffy and Buffy's small circle of friends who assist her, dubbed the Scooby Gang. Eventually Joyce is able to take Buffy's dangerous demon-fighting in stride and even become proud and respectful of her daughter's abilities. Her natural death from an illness in the fifth season forces Buffy to face becoming an adult."
is 1 liter of water equal to 1 kg,True,"One litre of liquid water has a mass of almost exactly one kilogram, because the kilogram was originally defined in 1795 as the mass of one cubic decimetre of water at the temperature of melting ice. Subsequent redefinitions of the metre and kilogram mean that this relationship is no longer exact."
