q_number,passage,question,actual_answer,4o_pred
9,"In the 1998 war film Saving Private Ryan, General George Marshall (played by Harve Presnell) reads the Bixby letter to his officers before giving the order to find and send home Private James Francis Ryan after Ryan's three brothers died in battle.",did abraham lincoln write the letter in saving private ryan,True,True
27,"Kingdom (キングダム, Kingudamu) is a Japanese manga series written and illustrated by Yasuhisa Hara (原泰久, Hara Yasuhisa). The manga provides a fictionalized account of the Warring States period primarily through the experiences of the war orphan Xin and his comrades as he fights to become the greatest general under the heavens, and in doing so, unifying China for the first time in history. The series was adapted into a thirty-eight episode anime series by studio Pierrot that aired from June 4, 2012 to February 25, 2013. A second season was announced and aired from June 8, 2013 to March 1, 2014. An English language release of the anime was licensed by Funimation.",is kingdom manga based on a true story,True,False
32,"The premise of the series is that Buffy is the latest Slayer, a young woman endowed by mystical forces with superhuman powers to fight and defeat vampires, demons, and other evil forces in the fictional town of Sunnydale. Like every Slayer before her, she was chosen and informed of her destiny when she was 15 years old. Her mother is unaware of her daughter's powers and responsibilities until Buffy is forced to tell her at the end of the second season of the television series. Although Joyce is shocked at this revelation, she recovers quickly and remains a source of stability for Buffy and Buffy's small circle of friends who assist her, dubbed the Scooby Gang. Eventually Joyce is able to take Buffy's dangerous demon-fighting in stride and even become proud and respectful of her daughter's abilities. Her natural death from an illness in the fifth season forces Buffy to face becoming an adult.",does buffy's mom know she's a slayer,True,True
33,"The tower's tilt began during construction in the 12th century, caused by an inadequate foundation on ground too soft on one side to properly support the structure's weight. The tilt increased in the decades before the structure was completed in the 14th century. It gradually increased until the structure was stabilized (and the tilt partially corrected) by efforts in the late 20th and early 21st centuries.",was the leaning tower of pisa built leaning,False,False
67,"In the canonical case, lawyers seeking admission must earn a Juris Doctor degree from a law school approved by the jurisdiction, and then pass a bar exam administered by it. Typically, there is also a character and fitness evaluation, which includes a background check. However, there are exceptions to each of these requirements. A lawyer who is admitted in one state is not automatically allowed to practice in any other. Some states have reciprocal agreements that allow attorneys from other states to practice without sitting for another full bar exam; such agreements differ significantly among the states.",do you have to have a college degree to take the bar exam,True,False
95,"The story begins as a girl named Sally and her brother, who serves as the narrator of the book, sit alone in their house on a cold, rainy day, staring wistfully out the window. Then they hear a loud bump which is quickly followed by the arrival of the Cat in the Hat, a tall anthropomorphic cat in a red and white striped hat and a red bow tie. The Cat proposes to entertain the children with some tricks that he knows. The children's pet fish refuses, insisting that the Cat should leave. The Cat responds by balancing the fish on the tip of his umbrella. The game quickly becomes increasingly trickier, as the Cat balances himself on a ball and tries to balance lots of household items on his limbs until he falls on his head, dropping everything he was holding. The fish admonishes him again, but the Cat in the Hat just proposes another game.",does the cat in the hat have a name,False,False
118,"Hart was named the NFC Player of the Year by UPI, All-NFC and second team All-Pro for the 1974 season. Hart was inducted into the Missouri Sports Hall of Fame in 1998 for his contribution to the sport of football.",is jim hart in the hall of fame,True,True
146,"In 2004 a new range of Dr. Martens was launched in an attempt to appeal to a wider market, and especially young people. The shoes and boots were intended to be more comfortable, and easier to break in, and included some new design elements. Dr. Martens also began producing footwear again at the Cobbs Lane Factory in Wollaston, England in 2004. These products are part of the ``Vintage'' line, which the company advertises as being made to the original specifications. Sales of these shoes are low in comparison to those made in Asia, however; in 2010, the factory was producing about 50 pairs per day. In 2005, the R. Griggs company was given an award by the ``Institute for Turnaround'' for implementing a successful restructure.",are doc martens still made in the uk,True,True
155,"Goalkeepers are normally allowed to handle the ball within their own penalty area, and once they have control of the ball in their hands opposition players may not challenge them for it. However the back-pass rule prohibits goalkeepers from handling the ball after it has been deliberately kicked to them by a team-mate, or after receiving it directly from a throw-in taken by a team-mate. Back-passes with parts of the body other than the foot, such as headers, are not prohibited. Despite the popular name ``back-pass rule'', there is no requirement in the laws that the kick or throw-in must be backwards; handling by the goalkeeper is forbidden regardless of the direction the ball travels.",can goalie pick up ball from throw in,False,False
158,"Kiester is a city in Faribault County, Minnesota, United States. The population was 501 at the 2010 census.",is there a town named keister in the united states,True,True
195,"Taylor Hayes is a fictional character from the American CBS soap opera The Bold and the Beautiful, portrayed by Hunter Tylo. The character was created by William J. Bell and debuted during the episode dated June 6, 1990. Tylo appeared as a regular continuously until 1994 when she took a hiatus for a few months before being written back into the series. In 1996, she left the serial after being cast on Melrose Place, where she was soon fired on the grounds of being pregnant, and returned shortly after. In 2002, Tylo and the show's executive producer Bradley Bell had mutually agreed that the character was ``played out'', and Taylor was subsequently killed off, last appearing on October 30, 2002. Tylo returned in 2004, reprising Taylor as a ghost. She returned on a permanent basis in April 2005, with the character revealed to be alive. Tylo exited The Bold and the Beautiful again in July 2013, but returned for multiple guest appearances in 2014. She returned again in April 2018.",is taylor still on the bold and beautiful,True,
196,"Canadian pet skunks must be purchased from a USDA-certified breeder in the United States. An import permit is required from the Canadian Food Inspection Agency to bring the skunk into the country. The skunk must be spayed or neutered, and receive a microchip implant or tattoo. A vet check fee must also be paid. It is illegal to keep striped skunks as pets in Canada.",can you have a skunk as a pet in canada,True,True
199,"The de facto official language of the United Kingdom is English, which is spoken by approximately 59.8 million residents, or 98% of the population, over the age of three. An estimated 700,000 people speak Welsh in the UK, an official language in Wales and the only de jure official language in any part of the UK. Approximately 1.5 million people in the UK speak Scots--although there is debate as to whether this is a distinct language, or a variety of English.",does the united kingdom have an official language,False,False
